gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000147119.4,453.2686886109525,-1.5484933593299608,0.2103458870633347,-7.361652661474254,1.8164711719309704e-13,2.061754141944656e-11,CHST7
ENSG00000185813.11,472.14038205072006,-1.1309448817688261,0.15371379806637978,-7.3574714566641495,1.874264663594587e-13,2.1135376719469868e-11,PCYT2
ENSG00000138078.16,1265.9644593799846,0.6789488394663432,0.09237782429023321,7.349695066785916,1.9865953856485279e-13,2.2257558365917634e-11,PREPL
ENSG00000163378.14,1797.9967677035775,-1.2718212482518843,0.1735885711943232,-7.326641607229705,2.359918171301717e-13,2.62707301043754e-11,EOGT
ENSG00000197301.7,222.63377590305254,-2.345546503110313,0.32207120877524825,-7.282695376683333,3.272155431993938e-13,3.6053782903487016e-11,HMGA2-AS1
ENSG00000049323.16,19375.073551720707,-0.6961340718687233,0.09559179978543966,-7.282361807510994,3.280258953559224e-13,3.6053782903487016e-11,LTBP1
ENSG00000177674.16,750.5784737995829,-1.1113819394092144,0.15280481533467657,-7.273212804027415,3.510366552430438e-13,3.834026764119936e-11,AGTRAP
ENSG00000134318.16,4520.1227935889565,-0.813519183494753,0.11188975832826481,-7.270720713401054,3.5757454787463486e-13,3.881024748994318e-11,ROCK2
ENSG00000091527.17,4858.420917485699,-0.7715483397122522,0.10613124482090688,-7.269756809262113,3.6013525263382683e-13,3.8845396256143086e-11,CDV3
ENSG00000074590.14,407.1124374223276,-1.3984095986221374,0.19251926164252792,-7.263738634208567,3.7653524357214194e-13,4.036364839428282e-11,NUAK1
ENSG00000164291.17,491.0193011176093,-0.8606268375442587,0.11853808774753344,-7.26034014803117,3.8611810938359694e-13,4.113697599727328e-11,ARSK
ENSG00000131446.17,5462.98182243903,-0.874131393363563,0.12098339001179334,-7.225218216139865,5.002978253630282e-13,5.2976658751550905e-11,MGAT1
ENSG00000100242.16,2989.5233831557443,-1.9030520026351105,0.263604749887016,-7.21933881483843,5.224094817905338e-13,5.498280642893582e-11,SUN2
ENSG00000003402.21,2693.063930612271,-1.1847101709419332,0.16418302933920934,-7.215789449799164,5.362197074286884e-13,5.609633397112411e-11,CFLAR
ENSG00000277443.3,5474.871535240347,1.1752112003091304,0.1631779803536561,7.202020749135954,5.932666173158538e-13,6.169262321141986e-11,MARCKS
ENSG00000108960.9,1723.5763598237127,-1.6460279823645685,0.2285880950478136,-7.200847367052383,5.98395032513296e-13,6.185552461086844e-11,MMD
ENSG00000128342.5,157.16240802026797,2.477320979822869,0.34568517441298907,7.166407943382671,7.699112846203213e-13,7.911407910483136e-11,LIF
ENSG00000067082.15,3229.7031814071624,-1.1120931706878499,0.15527597091590126,-7.16204293638047,7.948351659383569e-13,8.119474995109121e-11,KLF6
ENSG00000173517.11,8027.312903529843,-1.0029730372666903,0.1402407195064899,-7.151796145913782,8.564970104820594e-13,8.698202973117804e-11,PEAK1
ENSG00000146373.17,818.0580372586721,-1.0920806555369116,0.1529876052145815,-7.138360352821731,9.445075773647765e-13,9.536231737509714e-11,RNF217
ENSG00000122966.18,301.98936617863296,1.5868554138827946,0.2223658321040801,7.1362376083932455,9.592014497703104e-13,9.628608310237693e-11,CIT
ENSG00000168234.13,575.1863179817246,-0.7497870644087062,0.10539748763235395,-7.113898834326138,1.1280985463216183e-12,1.1258942158288058e-10,TTC39C
ENSG00000173221.14,1952.7586133469385,-0.9905995309426814,0.1400255792131343,-7.07441837776568,1.5007686837828306e-12,1.4892770835755794e-10,GLRX
ENSG00000196932.12,72.30481916034084,2.062491866845577,0.2917252177804247,7.069981411061865,1.5495445314048044e-12,1.5289426325213542e-10,TMEM26
ENSG00000196569.14,16492.097736721247,-2.0699170211109106,0.2929194002484817,-7.066507098386155,1.588820491676435e-12,1.5588393592346313e-10,LAMA2
